,Date,Unix,Ticker,DE Ratio,Price,stock_p_change,SP500,sp500_p_change,Difference,Status
0,2004-01-30 19:01:02,1075507262.0,a,0.407,36.65,0.0,1131.130005,0.0,0.0,underperform
1,2004-04-13 04:07:11,1081843631.0,a,0.375,31.87,-13.0422919509,1129.439941,-0.149413771408,-12.8928781795,underperform
2,2004-12-13 21:37:34,1102991854.0,a,0.323,23.84,-34.9522510232,1198.680054,5.97190850755,-40.9241595307,underperform
3,2005-01-22 05:17:19,1106389039.0,a,0.322,21.8,-40.5184174625,1167.869995,3.24807845584,-43.7664959183,underperform
4,2006-01-09 02:35:16,1136792116.0,a,0,34.65,-5.45702592087,1290.150024,14.0585094814,-19.5155354023,underperform
5,2006-06-21 11:01:16,1150902076.0,a,0.368,32.18,-12.1964529332,1252.199951,10.7034510149,-22.8999039481,underperform
6,2006-08-19 10:42:01,1155998521.0,a,0.396,31.8,-13.2332878581,1302.300049,15.1326587787,-28.3659466368,underperform
7,2007-02-20 17:46:56,1172011616.0,a,0.411,32.48,-11.377899045,1459.680054,29.0461792674,-40.4240783125,underperform
8,2007-04-12 05:07:51,1176368871.0,a,0.411,34.62,-5.53888130969,1447.800049,27.9959016736,-33.5347829833,underperform
9,2008-01-23 19:28:50,1201134530.0,a,0.645,32.16,-12.2510231924,1338.599976,18.3418325111,-30.5928557035,underperform
10,2008-02-14 04:44:34,1202982274.0,a,0.645,32.68,-10.8321964529,1348.859985,19.248890847,-30.0810872999,underperform
11,2008-04-26 04:49:23,1209199763.0,a,0.67,31.53,-13.9699863574,1397.839966,23.5790722394,-37.5490585968,underperform
12,2008-12-06 19:21:33,1228609293.0,a,0.83,17.26,-52.9058663029,876.070007,-22.5491320072,-30.3567342957,underperform
13,2009-08-02 05:46:24,1249206384.0,a,N/A,23.22,-36.6439290587,987.47998,-12.6996918449,-23.9442372138,underperform
14,2011-08-02 06:45:37,1312281937.0,a,54.36,40.79,11.2960436562,1254.050049,10.867012939,0.42903071723,outperform
15,2011-11-08 05:04:16,1320746656.0,a,51.62,37.74,2.97407912688,1275.920044,12.8004772537,-9.82639812684,underperform
16,2004-04-13 04:20:10,1081844410.0,aa,0.595,34.26,0.0,1129.439941,0.0,0.0,underperform
17,2004-09-09 16:15:45,1094760945.0,aa,0.561,32.89,-3.99883245768,1118.380005,-0.979240736803,-3.01959172087,underperform
18,2004-11-24 10:37:20,1101310640.0,aa,0.53,33.58,-1.9848219498,1181.76001,4.63239054161,-6.6172124914,underperform
19,2004-12-05 00:36:42,1102225002.0,aa,0.53,32.86,-4.08639813193,1191.170044,5.4655498499,-9.55194798183,underperform
20,2005-01-13 07:18:32,1105618712.0,aa,0.457,29.43,-14.0980735552,1177.449951,4.25078025464,-18.3488538098,underperform
21,2005-02-07 03:48:37,1107766117.0,aa,0.457,29.37,-14.2732049037,1201.719971,6.39963466636,-20.67283957,underperform
22,2005-05-22 08:48:23,1116766103.0,aa,0.543,27.45,-19.877408056,1189.280029,5.29820894655,-25.1756170026,underperform
23,2006-06-20 04:32:21,1150792341.0,aa,0.526,29.1,-15.061295972,1240.119995,9.79955197104,-24.860847943,underperform
24,2007-01-25 19:09:37,1169770177.0,aa,0.494,31.46,-8.17279626386,1423.900024,26.0713360942,-34.244132358,underperform
25,2007-02-23 09:03:42,1172239422.0,aa,0.494,34.75,1.43023934618,1451.189941,28.4875705489,-27.0573312027,underperform
26,2007-05-16 21:12:47,1179364367.0,aa,0.494,39.04,13.9521307647,1514.140015,34.0611359697,-20.109005205,underperform
27,2007-06-22 06:39:12,1182508752.0,aa,0.503,40.34,17.7466433158,1502.560059,33.035852944,-15.2892096282,underperform
28,2007-10-11 20:57:59,1192150679.0,aa,0.47,38.08,11.1500291886,1554.410034,37.6266216178,-26.4765924292,underperform
29,2008-01-23 16:05:53,1201122353.0,aa,0.499,28.04,-18.155283129,1338.599976,18.5189160935,-36.6741992225,underperform
30,2008-10-28 00:52:22,1225169542.0,aa,0.672,9.04,-73.613543491,940.51001,-16.727753654,-56.885789837,underperform
31,2008-12-05 01:03:15,1228456995.0,aa,0.672,8.06,-76.4740221833,876.070007,-22.4332365806,-54.0407856027,underperform
32,2008-12-06 09:33:46,1228574026.0,aa,0.672,8.15,-76.2113251605,876.070007,-22.4332365806,-53.77808858,underperform
33,2008-12-18 10:54:07,1229615647.0,aa,0.672,10.35,-69.7898423818,885.280029,-21.6177862263,-48.1720561555,underperform
